Date,Open,High,Low,Close,Adj Cose,Volume,Next High,Next Low
06-11-1996,5.88889,5.89444,5.67889,5.67889,0.000134,219811500,5.56667,5.29
07-11-1996,5.34111,5.56667,5.29,5.51556,0.00013,437089500,5.72778,5.54556
08-11-1996,5.57,5.72778,5.54556,5.70111,0.000134,291564000,6.02,5.55667
11-11-1996,5.62222,6.02,5.55667,5.74667,0.000135,288495000,6.02222,5.69222
13-11-1996,5.75333,6.02222,5.69222,5.97667,0.000141,355684500,6.01889,5.80111
14-11-1996,5.96556,6.01889,5.80111,5.83556,0.000137,359842500,5.92222,5.74444
15-11-1996,5.83333,5.92222,5.74444,5.89222,0.000139,280755000,6.30556,5.81
18-11-1996,5.91111,6.30556,5.81,6.29333,0.000148,583254000,6.66667,6.20444
19-11-1996,6.3,6.66667,6.20444,6.35222,0.000149,574497000,6.31,6.01444
20-11-1996,6.27,6.31,6.01444,6.03889,0.000142,459504000,6.19667,6.01889
21-11-1996,6.06778,6.19667,6.01889,6.10556,0.000144,475204500,6.15111,6.05556
22-11-1996,6.08778,6.15111,6.05556,6.09111,0.000143,313681500,6.22222,5.82778
25-11-1996,6.07222,6.22222,5.82778,6.08778,0.000143,411858000,6.51111,6.11111
26-11-1996,6.22222,6.51111,6.11111,6.35889,0.00015,556713000,6.13111,5.95889
27-11-1996,6.11444,6.13111,5.95889,6.05778,0.000143,239976000,6.15778,6.06667
28-11-1996,6.07111,6.15778,6.06667,6.10667,0.000144,165361500,6.18778,6.1
29-11-1996,6.11111,6.18778,6.1,6.11222,0.000144,115047000,6.28889,6.11111
02-12-1996,6.12222,6.28889,6.11111,6.18556,0.000146,166797000,6.22667,5.91111
03-12-1996,6.17778,6.22667,5.91111,6.03556,0.000142,264496500,5.86667,5.65778
04-12-1996,5.83,5.86667,5.65778,5.83556,0.000137,214218000,6,5.75667
05-12-1996,5.80111,6,5.75667,5.95667,0.00014,217219500,6.12,5.79889
06-12-1996,6,6.12,5.79889,6.05444,0.000142,236835000,6.19778,6.06333
09-12-1996,6.1,6.19778,6.06333,6.12111,0.000144,201159000,6.44444,6
10-12-1996,6.10889,6.44444,6,6.08556,0.000143,255582000,6.37556,6.04556
11-12-1996,6.13111,6.37556,6.04556,6.34333,0.000149,231367500,6.41667,6.25333
12-12-1996,6.37444,6.41667,6.25333,6.27444,0.000148,249822000,6.25444,6.13889
13-12-1996,6.25444,6.25444,6.13889,6.20889,0.000146,274554000,6.33333,6.18111
16-12-1996,6.19333,6.33333,6.18111,6.31333,0.000149,219213000,6.44333,6.1
17-12-1996,6.32111,6.44333,6.1,6.28556,0.000148,228690000,6.39,6.17778
18-12-1996,6.17778,6.39,6.17778,6.32556,0.000149,238410000,6.36111,6.26222
19-12-1996,6.31444,6.36111,6.26222,6.33667,0.000149,120307500,6.61333,6.36556
20-12-1996,6.37556,6.61333,6.36556,6.57778,0.000155,323748000,6.76667,6.58556
23-12-1996,6.62222,6.76667,6.58556,6.73778,0.000159,314752500,7.2,6.71222
24-12-1996,6.76111,7.2,6.71222,6.89333,0.000162,346612500,7.37667,6.95444
26-12-1996,6.95556,7.37667,6.95444,7.37333,0.000174,266548500,7.66222,7.28889
31-12-1996,7.57778,7.66222,7.28889,7.40222,0.000174,420943500,7.72222,7.48889
01-01-1997,7.48889,7.72222,7.48889,7.65444,0.00018,199728000,7.7,7.50222
02-01-1997,7.67778,7.7,7.50222,7.53889,0.000177,228190500,7.55444,7.41556
03-01-1997,7.51111,7.55444,7.41556,7.51444,0.000177,189981000,7.51111,7.18667
06-01-1997,7.46667,7.51111,7.18667,7.23556,0.00017,230337000,7.27444,6.97778
07-01-1997,7.2,7.27444,6.97778,7.12778,0.000168,270684000,7.43667,7.13444
08-01-1997,7.28889,7.43667,7.13444,7.18222,0.000169,251383500,7.30889,7.13444
09-01-1997,7.15556,7.30889,7.13444,7.25889,0.000171,252481500,7.75444,7.36222
10-01-1997,7.37889,7.75444,7.36222,7.68556,0.000181,623070000,8.08333,7.63333
13-01-1997,7.74444,8.08333,7.63333,7.98667,0.000188,517153500,8.54667,8.11111
14-01-1997,8.11111,8.54667,8.11111,8.51,0.0002,658503000,9.10667,8.64444
15-01-1997,8.64444,9.10667,8.64444,9.10667,0.000214,310860000,9.74444,8.47
16-01-1997,9.35556,9.74444,8.47,8.68889,0.000204,582808500,8.97667,8.22222
17-01-1997,8.33333,8.97667,8.22222,8.78111,0.000207,653031000,9.12667,8.71667
20-01-1997,8.97778,9.12667,8.71667,8.80556,0.000207,618597000,9.01667,8.49111
21-01-1997,8.73333,9.01667,8.49111,8.65556,0.000204,526873500,9.17333,8.88889
22-01-1997,8.95556,9.17333,8.88889,8.99444,0.000212,430974000,8.99778,8.57778
24-01-1997,8.93111,8.99778,8.57778,8.68222,0.000204,462991500,9,8.60667
27-01-1997,8.68889,9,8.60667,8.83556,0.000208,498951000,8.98889,8.73333
28-01-1997,8.95444,8.98889,8.73333,8.86778,0.000209,354667500,9.48889,8.99
29-01-1997,9.33333,9.48889,8.99,9.16,0.000216,472545000,9.13333,8.82333
30-01-1997,9.07778,9.13333,8.82333,8.95444,0.000211,349051500,8.84444,8.55778
31-01-1997,8.8,8.84444,8.55778,8.62444,0.000203,362205000,8.57333,8.28889
03-02-1997,8.42222,8.57333,8.28889,8.34222,0.000196,306904500,8.59333,8.33333
04-02-1997,8.35444,8.59333,8.33333,8.51444,0.0002,281259000,8.77667,8.45778
05-02-1997,8.69889,8.77667,8.45778,8.50222,0.0002,246564000,8.58778,8.3
06-02-1997,8.47778,8.58778,8.3,8.49667,0.0002,363424500,8.91,8.41111
07-02-1997,8.51111,8.91,8.41111,8.85222,0.000208,445225500,9.08778,8.72444
10-02-1997,8.95333,9.08778,8.72444,8.92333,0.00021,554422500,9.11,8.83444
11-02-1997,8.88222,9.11,8.83444,9.03222,0.000213,355293000,9.47778,8.97778
12-02-1997,9,9.47778,8.97778,9.35556,0.00022,660496500,9.42222,9.26778
13-02-1997,9.27778,9.42222,9.26778,9.36,0.00022,365836500,9.44222,9.33222
14-02-1997,9.35667,9.44222,9.33222,9.38,0.000221,294583500,9.59889,9.30667
17-02-1997,9.55556,9.59889,9.30667,9.38667,0.000221,398740500,9.41111,9.04444
18-02-1997,9.41111,9.41111,9.04444,9.1,0.000214,518652000,9.33,9.09778
